Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Output
187,364,104,134,278,117,123,79,1
162,380,111,130,271,105,122,77,1
172,357,127,135,255,107,122,72,1
185,339,123,135,256,112,121,84,1
189,331,122,154,270,115,135,91,1
150,304,122,146,226,96,139,81,1
143,269,116,146,239,94,155,83,1
130,302,118,130,223,97,149,84,1
124,303,114,122,231,85,144,75,1
130,330,115,100,195,108,156,71,1
123,310,112,101,216,110,156,69,1
130,398,156,99,200,105,141,77,1
159,415,144,102,222,115,143,76,1
158,416,150,122,205,118,140,77,1
142,390,165,152,228,97,117,79,1
141,396,163,158,211,117,140,81,1
143,324,134,168,241,122,140,76,1
112,284,155,170,208,106,140,81,1
109,316,155,170,204,105,151,85,1
123,329,153,141,188,114,165,88,1
117,329,160,149,192,96,136,87,1
112,358,157,142,206,96,128,83,1
125,371,146,142,207,93,132,82,1
125,340,144,126,227,111,119,79,1
116,329,136,129,227,96,109,66,1
128,362,145,111,227,101,141,64,1
140,304,142,106,186,97,142,63,1
125,284,128,109,194,110,141,62,1
117,288,122,123,195,92,146,59,1
114,284,118,114,200,91,141,60,1
111,225,105,114,196,87,119,62,1
106,261,104,145,190,90,127,63,1
113,263,111,147,195,75,128,59,1
119,277,130,132,179,92,134,72,1
122,313,136,130,225,108,135,76,1
118,331,136,136,221,100,134,83,1
107,305,129,109,239,97,130,83,1
106,305,138,160,259,99,129,83,1
94,298,133,165,260,91,116,80,1
95,263,131,164,228,91,117,76,1
103,235,122,165,240,95,109,74,1
109,240,121,168,232,102,111,70,1
